Classification,Year,Period,Period.Desc.,Aggregate.Level,Is.Leaf.Code,Trade.Flow.Code,Trade.Flow,Reporter.Code,Reporter,Reporter.ISO,Partner.Code,Partner,Partner.ISO,X2nd.Partner.Code,X2nd.Partner,X2nd.Partner.ISO,Customs.Proc..Code,Customs,Mode.of.Transport.Code,Mode.of.Transport,Commodity.Code,Commodity,Qty.Unit.Code,Qty.Unit,Qty,Alt.Qty.Unit.Code,Alt.Qty.Unit,Alt.Qty,Netweight..kg.,Gross.weight..kg.,Trade.Value.(US$),CIF.Trade.Value..US..,FOB.Trade.Value..US..,Flag
H5,2018,2018,2018,0,0,2,Export,218,Ecuador,ECU,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,21606133822,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,222,El Salvador,SLV,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,11829783403,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,222,El Salvador,SLV,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,5904627045,NA,NA,4
H5,2018,2018,2018,0,0,4,Re-Import,222,El Salvador,SLV,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,9574189,NA,NA,0
H5,2018,2018,2018,0,0,1,Import,233,Estonia,EST,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,19826320836,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,233,Estonia,EST,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,17851477710,NA,NA,4
H5,2018,2018,2018,0,0,3,Re-Export,233,Estonia,EST,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,2961223868,NA,NA,0
H5,2018,2018,2018,0,0,1,Import,242,Fiji,FJI,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,2719590986,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,242,Fiji,FJI,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1041040355,NA,NA,4
H5,2018,2018,2018,0,0,3,Re-Export,242,Fiji,FJI,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,470341904,NA,NA,0
H5,2018,2018,2018,0,0,4,Re-Import,242,Fiji,FJI,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,411377,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,246,Finland,FIN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,78352161411,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,246,Finland,FIN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,75258290459,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,251,France,FRA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,6.59E+11,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,251,France,FRA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,5.69E+11,NA,NA,4
H5,2018,2018,2018,0,0,4,Re-Import,251,France,FRA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,5690757198,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,276,Germany,DEU,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,1.29E+12,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,276,Germany,DEU,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,1.56E+12,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,288,Ghana,GHA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,11880470763,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,288,Ghana,GHA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,17099588399,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,300,Greece,GRC,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,65141447585,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,300,Greece,GRC,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,39490521437,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,304,Greenland,GRL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,829150195,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,304,Greenland,GRL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,640897343,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,320,Guatemala,GTM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,19643972138,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,320,Guatemala,GTM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,10863483936,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,340,Honduras,HND,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,9427941451,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,340,Honduras,HND,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,4486630182,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,6.27E+11,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,5.69E+11,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,348,Hungary,HUN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,1.17E+11,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,348,Hungary,HUN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,1.24E+11,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,352,Iceland,ISL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,7686033358,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,352,Iceland,ISL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,5561475841,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,360,Indonesia,IDN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1.89E+11,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,360,Indonesia,IDN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1.80E+11,NA,NA,4
H5,2018,2018,2018,0,0,4,Re-Import,360,Indonesia,IDN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,35281106,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,364,Iran,IRN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,41236168450,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,364,Iran,IRN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,96617521276,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,372,Ireland,IRL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1.07E+11,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,372,Ireland,IRL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1.67E+11,NA,NA,4
H5,2018,2018,2018,0,0,4,Re-Import,372,Ireland,IRL,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,98170404,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,376,Israel,ISR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,76584110000,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,376,Israel,ISR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,61906412000,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,381,Italy,ITA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,5.04E+11,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,381,Italy,ITA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,5.50E+11,NA,NA,4
H5,2018,2018,2018,0,0,3,Re-Export,381,Italy,ITA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,23853112865,NA,NA,0
H5,2018,2018,2018,0,0,4,Re-Import,381,Italy,ITA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,4986969512,NA,NA,0
H5,2018,2018,2018,0,0,1,Import,384,Côte d'Ivoire,CIV,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,10969606774,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,384,Côte d'Ivoire,CIV,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,11820908494,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,388,Jamaica,JAM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,6125968821,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,388,Jamaica,JAM,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1878239268,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,392,Japan,JPN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,7.48E+11,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,392,Japan,JPN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,7.38E+11,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,398,Kazakhstan,KAZ,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,33658429453,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,61109053214,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,400,Jordan,JOR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,20309900969,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,400,Jordan,JOR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,7750262862,NA,NA,4
H5,2018,2018,2018,0,0,3,Re-Export,400,Jordan,JOR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,1166168040,NA,NA,0
H5,2018,2018,2018,0,0,1,Import,410,Rep. of Korea,KOR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,5.35E+11,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,410,Rep. of Korea,KOR,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,6.05E+11,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,414,Kuwait,KWT,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,35866655317,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,414,Kuwait,KWT,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,71941444555,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,417,Kyrgyzstan,KGZ,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,5291945776,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,417,Kyrgyzstan,KGZ,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,1835179371,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,418,Lao People's Dem. Rep.,LAO,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,5848036260,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,418,Lao People's Dem. Rep.,LAO,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,5814806369,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,422,Lebanon,LBN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,19982944051,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,422,Lebanon,LBN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,2952759932,NA,NA,4
H5,2018,2018,2018,0,0,4,Re-Import,422,Lebanon,LBN,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,11307816,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,428,Latvia,LVA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,18612965523,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,428,Latvia,LVA,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,15064999864,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,440,Lithuania,LTU,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,36501414404,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,440,Lithuania,LTU,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,33334576736,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,442,Luxembourg,LUX,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,23118820384,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,442,Luxembourg,LUX,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,NA,NA,15148367371,NA,NA,4
H5,2018,2018,2018,0,0,3,Re-Export,442,Luxembourg,LUX,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,56412800,NA,NA,0
H5,2018,2018,2018,0,0,4,Re-Import,442,Luxembourg,LUX,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,257599958,NA,NA,4
H5,2018,2018,2018,0,0,1,Import,446,"China, Macao SAR",MAC,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,12068649824,NA,NA,4
H5,2018,2018,2018,0,0,2,Export,446,"China, Macao SAR",MAC,0,World,WLD,NA,NA,NA,NA,NA,NA,NA,TOTAL,All Commodities,1,No Quantity,0,NA,NA,NA,0,NA,1161004083,NA,NA,4
